id,order_index,hero_id,rarity,name,subtitle,trigger_type,trigger_value,cooldown,pattern,damage_type,damage_form,element,damage_label,damage_ratio,splash_ratio,radius,target_count,bounce_count,repeat_count,repeat_interval,heal_ratio,hp_threshold,boss_bonus_ratio,gold_gain,delay,summary,item_desc
bailong_po,11,yunyuan_shaojun,SR,白龙破,长链穿杀,attack_skill,2,4.6,chain_bolt,物理,weapon,none,龙枪,1.50,0.90,500,0,5,0,0,0,0,0.30,0,0,施放技能后引白龙枪势连续穿杀敌阵。,定位：连锁破阵；触发：每2次攻击技能；效果：对目标造成150%攻击的物理伤害，并连锁5次，后续每跳造成90%倍率伤害。
duanchao_ci,12,xunhai_qiangshi,R,断潮刺,突刺炸裂,basic_attack,4,3.8,target_burst,物理,weapon,none,断潮,1.50,0.60,160,0,0,0,0,0,0,0.40,0,0,普攻节奏拉满后打出单点突刺与小范围破裂。,定位：单点刺杀；触发：每4次普攻；效果：对目标造成150%攻击的物理伤害，并在其周围160范围造成60%倍率余震。
lianzhu_jian,13,chiyu_tiangong,SR,连珠箭,扇面齐射,attack_skill,2,4.2,fan_volley,物理,weapon,none,羽箭,1.20,0.80,460,4,0,0,0,0,0,0.20,0,0,技能后衔接扇面追射补齐远程覆盖。,定位：多目标追击；触发：每2次攻击技能；效果：对目标造成120%攻击的物理伤害，并额外射向附近4名敌人，每名造成80%倍率伤害。
shuanghua_wu,14,yuehua_xianshu,SR,霜华舞,月步连绞,interval,8,8,repeat_strikes,法术,spell,none,月华,0.85,0,300,4,0,4,0.18,0,0,0.20,0,0,以舞步洒出月华刃连续切割近身敌群。,定位：近身连击；触发：每8秒；效果：连续4轮锁定附近最多4名敌人，每轮造成85%攻击的法术伤害。
huichun_qu,15,yudi_yaoxian,R,回春曲,击杀回春,enemy_kill,10,8,healing_wave,法术,spell,none,回春,0.90,0,260,0,0,0,0,0.08,0,0.20,0,0,连斩后奏起回春曲补血并震退周边。 ,定位：辅助续航；触发：每10次击杀；效果：回复8%最大生命，并对周围260范围敌人造成90%攻击的法术伤害。
zhuiyun_zhan,16,liuyun_jianhou,R,追云斩,普攻追斩,basic_attack,5,4.2,fan_volley,物理,weapon,none,剑斩,1.10,0.70,380,3,0,0,0,0,0,0.20,0,0,普攻积势后对附近多目标补上追云剑影。,定位：追击补刀；触发：每5次普攻；效果：对目标造成110%攻击的物理伤害，并额外追斩附近3名敌人，每名造成70%倍率伤害。
chixiao_yan,17,huode_zhenjun,SSR,赤霄焰,天火降场,attack_skill,2,5.2,meteor_zone,法术,spell,none,天焰,2.40,1.20,300,0,0,0,0,0,0,0.40,0,0.35,技能后引赤霄天火砸落并追加一轮焚爆。,定位：法术主核；触发：每2次攻击技能；效果：在目标区域延迟降下天火，对300范围敌人造成240%攻击的法术伤害，并追加一轮120%倍率焚爆。
baihong_guan,18,baihong_qiangxian,SR,白虹贯,疾锋穿阵,attack_skill,2,4.4,target_burst,物理,weapon,none,枪贯,2.20,0.70,200,0,0,0,0,0,0,0.40,0,0,技能后立刻补上一记高额白虹贯刺。,定位：单体爆发；触发：每2次攻击技能；效果：对目标造成220%攻击的物理伤害，并在其周围200范围造成70%倍率余波。
tianming_ling,19,beichen_dijun,UR,天命令,帝令天降,attack_skill,2,5.0,meteor_zone,法术,spell,none,帝令,2.00,1.10,340,0,0,0,0,0,0,0.90,0,0.20,帝令落下后连续清洗战场核心区域。,定位：UR统御轰场；触发：每2次攻击技能；效果：在目标区域快速降下帝令，对340范围敌人造成200%攻击的法术伤害，并追加一轮110%倍率轰落，对精英与Boss额外+90%。
jingang_zhen,20,zhenyue_jingang,SR,重甲震,重拳震地,basic_attack,8,5.8,hero_pulse,物理,weapon,none,金刚,2.10,0,280,0,0,0,0,0,0,0.70,0,0,重拳积势后震开近身敌群并压制首领。,定位：厚重震场；触发：每8次普攻；效果：对自身周围280范围敌人造成210%攻击的物理伤害，对精英与Boss额外+70%。
qinglian_hu,21,qinglian_junzi,SR,青莲护,危血回生,low_hp_interval,0,12,healing_wave,法术,spell,none,青莲,1.40,0,260,0,0,0,0,0.12,0.45,0.20,0,0,生命告急时自动回春并清退贴身敌群。,定位：保命护世；触发：生命低于45%且冷却结束；效果：回复12%最大生命，并对周围260范围敌人造成140%攻击的法术伤害。
budong_yin,22,tiebi_shanjun,R,不动印,镇地护阵,interval,10,10,hero_pulse,物理,weapon,none,镇印,1.30,0,300,0,0,0,0,0,0,0.30,0,0,定时下压不动印清出防线喘息空间。,定位：守线护阵；触发：每10秒；效果：对自身周围300范围敌人造成130%攻击的物理伤害，对精英与Boss额外+30%。
huangtian_lei,23,huangtian_fawang,R,黄天雷,雷矢连锁,attack_skill,3,4.8,chain_bolt,法术,spell,none,雷矢,1.25,0.85,460,0,4,0,0,0,0,0.20,0,0,每轮技能循环后放出一串黄天雷矢收杂兵。,定位：连锁清怪；触发：每3次攻击技能；效果：对目标造成125%攻击的法术伤害，并连锁4次，后续每跳造成85%倍率伤害。
nuchao_ren,24,talang_yecha,R,怒潮刃,尸潮掠金,enemy_kill,6,5,corpse_burst,物理,weapon,none,怒潮,1.20,0.80,240,0,0,0,0,0,0,0.20,6,0,击杀越多越能滚出尸爆与额外金币收益。,定位：击杀滚财；触发：每6次击杀；效果：在尸体位置引爆怒潮，对240范围敌人造成120%攻击的物理伤害，并追加80%倍率余波，同时获得6金币。
huayue_chao,25,taohua_xianshu,R,花月潮,回澜花波,interval,8.5,8.5,healing_wave,法术,spell,none,花潮,1.00,0,280,0,0,0,0,0.04,0,0.20,0,0,花潮周期回卷，兼顾回复与柔性清线。,定位：柔性续航；触发：每8.5秒；效果：回复4%最大生命，并对周围280范围敌人造成100%攻击的法术伤害。
qixing_deng,26,lingtai_tianshi,SSR,七星灯,星灯镇压,interval,12,12,repeat_strikes,法术,spell,none,星灯,1.10,0,450,6,0,7,0.12,0,0,0.30,0,0,七星点杀覆盖大片敌群并维持长时间压制。,定位：持续控场；触发：每12秒；效果：连续7轮点杀附近最多6名敌人，每轮造成110%攻击的法术伤害。
hengjiang_duan,27,pozhen_daowei,R,横江断,横斩破阵,basic_attack,7,5.2,cleave_target,物理,weapon,none,横斩,1.70,0.70,220,0,0,0,0,0,0,0.20,0,0,普攻叠满后爆出一记横江断斩切开阵线。,定位：近战清线；触发：每7次普攻；效果：对目标造成170%攻击的物理伤害，并对周围220范围敌人造成70%倍率伤害。
duopo_ju,28,taixu_mousheng,SSR,夺魄局,谋阵追杀,attack_skill,3,5.5,fan_volley,法术,spell,none,谋煞,1.60,1.00,520,5,0,0,0,0,0,0.50,0,0,技能循环后追加谋阵追杀，适合清理中后排。,定位：多目标追杀；触发：每3次攻击技能；效果：对目标造成160%攻击的[幽冥]法术伤害，并额外锁定附近5名敌人，每名造成100%倍率伤害。
liehong_zhan,29,dumu_zhanpo,R,裂虹斩,残血处决,attack_skill,3,5,execute_burst,物理,weapon,none,断岳,1.60,0.70,180,0,0,0,0,0,0.25,0.50,0,0,盯住残血单位补上致命斩击，清尾能力很强。,定位：处决补刀；触发：每3次攻击技能；效果：对目标造成160%攻击的物理伤害，若目标生命低于25%则追加处决伤害，并对周围180范围造成70%倍率余波。
qinglong_yan,30,xuanfeng_zhenjun,SSR,青龙偃,刀芒斩界,attack_skill,3,6,cleave_target,物理,weapon,none,刀芒,2.60,1.20,280,0,0,0,0,0,0,0.70,0,0,重型刀芒横扫大片敌群并对首领额外压制。,定位：重斩清场；触发：每3次攻击技能；效果：对目标造成260%攻击的物理伤害，并对周围280范围敌人造成120%倍率伤害，对精英与Boss额外+70%。
