道具名称,获取方式,商城页签,是否激活,增益属性/资源,增益数值,道具类型,效果触发时机,特效/机制
进阶·小鱼,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与敏捷增幅,+128、×8与+3%,英雄进阶卡 (SSR),下次登入获得,局内进化时，UR英雄小鱼的权重提高20%(小幅增加出现概率)，且进化为小鱼后会额外获得一个技能点
进阶·沉默术士,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与智力增幅,+128、×8与+3%,英雄进阶卡 (SSR),下次登入获得,局内进化时，UR英雄沉默术士的权重提高20%(小幅增加出现概率)，且进化为沉默术士后会额外获得一个技能点
进阶·炼金术士,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与杀敌金币,+128、×8与+3%,英雄进阶卡 (SSR),下次登入获得,局内进化时，UR英雄炼金术士的权重提高20%(小幅增加出现概率)，且进化为炼金术士后会额外获得一个技能点
进阶·战斗暴龙兽,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与所有伤害,+128、×8与+3%,英雄进阶卡 (SSR),下次登入获得,局内进化时，UR英雄战斗暴龙兽的权重提高20%(小幅增加出现概率)，且进化为战斗暴龙兽后会额外获得一个技能点
进阶·钢铁加鲁鲁,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与所有伤害,+128、×8与+3%,英雄进阶卡 (SSR),下次登入获得,局内进化时，UR英雄钢铁加鲁鲁的权重提高20%(小幅增加出现概率)，且进化为钢铁加鲁鲁后会额外获得一个技能点
不朽契约,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥、力量增幅、敏捷增幅与智力增幅,+388、×20、+5%、+5%与+5%,核心圣物 (UR),下次登入获得,羁绊抽卡选项+1
英雄恩典,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥、力量增幅、敏捷增幅与智力增幅,+388、×20、+5%、+5%与+5%,核心圣物 (UR),下次登入获得,英雄进化选项+1
虚空棱镜,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥、力量增幅、敏捷增幅、智力增幅,+388、×20、+5%、+5%、+5%,核心圣物 (UR),下次登入获得,宝物选择选项+1
灵光碎片,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥、力量增幅、敏捷增幅、智力增幅,+388、×20、+5%、+5%、+5%,核心圣物 (UR),下次登入获得,技能选择选项+1
命运罗盘,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥、生命增幅、攻击增幅、护甲增幅,+388、×20、+5%、+5%、+5%,核心圣物 (UR),下次登入获得,触发奇遇需要的杀敌数量降低25%
先贤遗物,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥、生命增幅、攻击增幅、护甲增幅,+388、×20、+5%、+5%、+5%,核心圣物 (UR),下次登入获得,英雄刷新次数+2，宝物刷新次数+2，技能刷新次数+3
知识圣杯,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥、最终生命、最终攻击、最终护甲,+388、×20、+3%、+3%、+3%,核心圣物 (UR),下次登入获得,存档-装备强化带来的属性增幅提高20%
贤者手札,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥、最终力量、最终敏捷、最终智力,+388、×20、+3%、+3%、+3%,核心圣物 (UR),下次登入获得,奇珍掉落概率提高50%(乘算)
秘典残页,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥、魔法暴伤、物理暴伤、攻击范围,+388、×20、+6%、+6%、+100,核心圣物 (UR),下次登入获得,"存档-宝石重铸所需的重铸石根据不同稀有度减少(传说-1,神器-2,不朽-3,无上-5)"
奥术秘盘,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥、物理伤害、魔法伤害、最终伤害,+388、×20、+5%、+5%、+2%,核心圣物 (UR),下次登入获得,"福利-通关奖励中每多一个满星关卡(不是首通三星),额外奖励：传说密钥x5，最终伤害+0.5%(上限生效20次)"
万象宝珠,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥、杀敌加成、杀敌经验、杀敌金币,+388、×20、+5%、+5%、+5%,核心圣物 (UR),下次登入获得,每次通关时，基础关卡奖励根据门票消耗数量增加；每一张门票：炉岩碳+10，随机技能碎片+10，符文石+5(拥有道具后的通关方可生效)
洞察之眼,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥、普攻伤害、技能伤害、攻速、技能急速,+388、×20、+6%、+6%、+10%、+5,核心圣物 (UR),下次登入获得,在宝库中进行[传说秘藏]与[远古神藏]抽奖时，获得重复宝物的积分提高20%(获取后开始生效)
